Comment,Designator,Footprint,LCSC,Quantity
100nF,"C1,C2",C_0603,C14663,2
10kΩ,"R2,R3,R4",R_0402,C25744,3
10uF,"C3,C4,C5",C_0603,C19702,3
330Ω,R1,R_0402,C25104,1
AMS1117,U3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6186,1
M24C64,U2,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,C79988,1
SN74CB3Q3384APW,U1,TSSOP-24_4.4x7.8mm_P0.65mm,C469874,1
Conn_01x03_Pin,J13,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,,1
Conn_01x03_Pin,J12,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,,1
Conn_01x03_Pin,J11,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,,1
Conn_01x03_Pin,J10,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,,1
Conn_01x03_Pin,J7,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,,1
Conn_01x03_Pin,J9,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,,1
Conn_01x03_Pin,J8,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,,1
Conn_01x03_Pin,J16,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,,1
Conn_01x03_Pin,J15,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,,1
Conn_01x03_Pin,J14,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,,1
Conn_01x03_Pin,J6,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,,1
Conn_01x03_Pin,J5,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,,1
TCA9535PWR,U4,TSSOP-24_4.4x7.8mm_P0.65mm,,1
100n,C6,C_0603,,1
Chainbus Out,J2,PinSocket_2x16_P2.54mm_Vertical_SMD,,1
~,H8,Hole_Tooling_JLCPCB,,1
Conn_01x04_Pin,J3,PinHeader_1x04_P2.54mm_Vertical,,1
~,H7,Hole_Tooling_JLCPCB,,1
LED,,LED_0603_1608Metric,,0
~,H9,Hole_Tooling_JLCPCB,,1
~,PN1,Part_Num_JLCPCB,,1
Chainbus in,J1,PinHeader_2x16_P2.54mm_Vertical_SMD,,1
MCP3421A0T-ECH,U5,SOT-23-6,,1
Conn_01x03_Pin,J4,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,,1
100n,C7,C_0603,,1
