Comment,Designator,Footprint,LCSC,Quantity
100nF,"C1,C2,C6,C7",C_0603,C14663,4
10kΩ,"R2,R3,R4",R_0402,C25744,3
10uF,"C3,C4,C5",C_0603,C19702,3
330Ω,"R1,R10,R11,R12,R13,R14,R15,R16,R17,R5,R6,R7,R8",R_0402,C25104,13
AMS1117,U3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6186,1
M24C64,U2,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,C79988,1
MCP3421A0T-E/CH,U6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,C29454,1
Red,"D10,D11,D12,D13,D14,D15,D2,D3,D4,D5,D6,D8,D9",D_0603,C2286,13
SN74CB3Q3384APW,U1,TSSOP-24_4.4x7.8mm_P0.65mm,C469874,1
TCA9535PWR_C130204,U7,TSSOP-24_L7.8-W4.4-P0.65-LS6.4-BL,C130204,1
